sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,subject,G_avg,pass
F,18,U,GT3,A,4,4,at_home,teacher,course,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,5,6,6,Math,5.666666666666667,False
F,17,U,GT3,T,1,1,at_home,other,course,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,5,5,6,Math,5.333333333333333,False
F,15,U,LE3,T,1,1,at_home,other,other,1,2,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,7,8,10,Math,8.333333333333334,True
F,15,U,GT3,T,4,2,health,services,home,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15,Math,14.666666666666666,True
F,16,U,GT3,T,3,3,other,other,home,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,6,10,10,Math,8.666666666666666,True
M,16,U,LE3,T,4,3,services,other,reputation,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15,15,15,Math,15.0,True
M,16,U,LE3,T,2,2,other,other,home,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,12,12,11,Math,11.666666666666666,True
F,17,U,GT3,A,4,4,other,teacher,home,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,6,5,6,Math,5.666666666666667,False
M,15,U,LE3,A,3,2,services,other,home,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,16,18,19,Math,17.666666666666668,True
M,15,U,GT3,T,3,4,other,other,home,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,14,15,15,Math,14.666666666666666,True
F,15,U,GT3,T,4,4,teacher,health,reputation,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,10,8,9,Math,9.0,False
F,15,U,GT3,T,2,1,services,other,reputation,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,10,12,12,Math,11.333333333333334,True
M,15,U,LE3,T,4,4,health,services,course,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,14,14,14,Math,14.0,True
M,15,U,GT3,T,4,3,teacher,other,course,2,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2,10,10,11,Math,10.333333333333334,True
